// 서버, 클라이언트 사용 스크립트																				
																				
//차원의 미궁 지역으로 사용할 기존 맵 설정																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y															
7	8	10	2	0	0	0	1	0	//정상											
7	9	14	2	0	1	1	0	0	//정상											
8	0	16	3	7	2	2	0	0	//정상											
8	1	12	2	0	1	1	0	1	//정상											
8	2	37	2	0	1	1	1	1	//정상											
8	3	0	3	3	2	2	2	2	//정상											
8	4	7	2	0	0	0	1	1	//정상											
8	5	26	2	0	0	1	1	0	//정상											
8	6	25	3	1	2	2	0	0	//정상											
8	7	18	2	0	1	1	0	1	//정상											
8	8	28	3	1	0	2	2	2	//정상											
8	9	20	3	0	2	2	2	0	//정상											
9	0	29	2	0	1	0	0	0	//정상											
9	1	27	2	0	1	0	0	0	//정상											
9	2	9	3	0	2	0	0	0	//정상											
9	3	27	3	3	2	0	0	2	//정상											
9	4	33	2	0	0	0	1	1	//정상											
9	5	23	2	0	1	0	1	1	//정상											
9	6	15	2	0	1	0	1	1	//정상											
9	7	32	2	0	1	0	1	1	//정상											
9	8	28	3	2	2	0	2	2	//정상											
9	9	14	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
23	6	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	35	2	0	0	1	0	1	//정상											
0	1	16	3	5	0	0	2	2	//정상											
0	2	32	2	0	0	1	1	1	//정상											
0	3	11	2	0	0	0	1	1	//정상											
0	4	33	2	0	0	0	1	1	//정상											
0	5	4	3	3	0	2	2	2	//정상											
0	6	20	2	0	0	1	1	0	//정상											
0	7	30	2	0	0	1	0	1	//정상											
0	8	10	2	0	0	0	1	1	//정상											
0	9	21	2	0	0	1	1	0	//정상											
1	0	11	3	7	2	2	0	2	//정상											
1	1	34	2	0	0	1	1	1	//정상											
1	2	37	3	1	2	2	2	2	//정상											
1	3	15	2	0	0	1	1	0	//정상											
1	4	10	2	0	0	1	0	1	//정상											
1	5	34	2	0	1	0	1	1	//정상											
1	6	4	3	0	2	0	2	0	//정상											
1	7	32	2	0	1	0	0	1	//정상											
1	8	27	4	0	0	0	1	0	//정상											
1	9	16	2	0	1	1	0	0	//정상											
2	0	17	2	0	1	1	0	1	//정상											
2	1	34	2	0	1	1	1	0	//정상											
2	2	32	3	6	2	2	0	0	//정상											
2	3	4	2	0	1	1	0	0	//정상											
2	4	11	2	0	1	1	0	0	//정상											
2	5	11	2	0	0	1	0	1	//정상											
2	6	28	2	0	0	1	1	1	//정상											
2	7	27	2	0	0	0	1	1	//정상											
2	8	23	3	6	0	0	2	0	//정상											
2	9	37	2	0	1	1	0	0	//정상											
3	0	33	3	3	2	2	0	2	//정상											
3	1	2	2	0	1	1	1	0	//정상											
3	2	25	3	7	2	2	0	0	//정상											
3	3	15	2	0	1	1	0	0	//정상											
3	4	3	2	0	1	1	0	0	//정상											
3	5	6	2	0	1	1	0	0	//정상											
3	6	30	2	0	1	0	0	1	//정상											
3	7	5	3	4	0	0	2	2	//정상											
3	8	28	2	0	0	1	1	1	//정상											
3	9	34	2	0	1	0	1	0	//정상											
4	0	22	3	7	2	2	0	0	//정상											
4	1	35	3	1	2	2	0	0	//정상											
4	2	18	3	2	2	0	0	0	//정상											
4	3	35	2	0	1	1	0	0	//정상											
4	4	12	2	0	1	1	0	0	//정상											
4	5	17	2	0	1	1	0	0	//정상											
4	6	20	3	6	0	2	0	2	//정상											
4	7	13	2	0	0	0	1	1	//정상											
4	8	5	3	2	2	0	2	2	//정상											
4	9	32	3	4	0	2	2	0	//정상											
5	0	10	2	0	1	0	0	0	//정상											
5	1	26	2	0	1	1	0	1	//정상											
5	2	6	3	0	0	0	2	0	//정상											
5	3	25	2	0	1	1	0	0	//정상											
5	4	34	2	0	1	1	0	0	//정상											
5	5	23	2	0	1	1	0	0	//정상											
5	6	8	3	6	2	0	0	0	//정상											
5	7	8	3	5	0	2	0	0	//정상											
5	8	35	2	0	0	1	0	0	//정상											
5	9	1	3	2	2	2	0	0	//정상											
6	0	2	2	0	0	1	0	0	//정상											
6	1	12	2	0	1	1	0	1	//정상											
6	2	36	3	4	0	0	2	0	//정상											
6	3	19	3	4	2	2	0	2	//정상											
6	4	25	3	6	2	2	2	0	//정상											
6	5	22	2	0	1	0	0	1	//정상											
6	6	30	2	0	0	0	1	1	//정상											
6	7	10	2	0	1	0	1	1	//정상											
6	8	13	2	0	1	1	1	1	//정상											
6	9	11	3	7	2	0	2	0	//정상											
7	0	11	3	7	2	2	0	2	//정상											
7	1	15	2	0	1	1	1	1	//정상											
7	2	25	2	0	0	0	1	0	//정상											
7	3	18	2	0	1	1	0	0	//정상											
7	4	14	2	0	1	1	0	0	//정상											
7	5	23	3	7	0	2	0	0	//정상											
7	6	8	2	0	0	1	0	0	//정상											
7	7	1	3	0	0	2	0	2	//정상											
7	8	5	2	0	1	1	1	1	//정상											
7	9	37	2	0	0	0	1	0	//정상											
8	0	8	3	4	2	2	0	2	//정상											
8	1	35	1	0	1	1	1	1	//정상											
8	2	31	3	5	0	2	2	0	//정상											
8	3	16	2	0	1	0	0	1	//정상											
8	4	11	2	0	1	0	1	1	//정상											
8	5	22	2	0	1	0	1	1	//정상											
8	6	29	3	5	2	0	2	2	//정상											
8	7	27	2	0	1	0	1	1	//정상											
8	8	10	2	0	1	0	1	1	//정상											
8	9	18	3	5	0	0	2	0	//정상											
9	0	31	3	7	2	0	0	2	//정상											
9	1	35	3	0	2	0	2	2	//정상											
9	2	8	2	0	1	0	1	1	//정상											
9	3	32	2	0	0	0	1	1	//정상											
9	4	10	3	5	0	0	2	2	//정상											
9	5	16	2	0	0	0	1	1	//정상											
9	6	2	3	6	0	0	2	2	//정상											
9	7	27	2	0	0	0	1	1	//정상											
9	8	17	2	0	0	0	1	1	//정상											
9	9	13	3	0	0	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
24	6	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	0	2	0	0	1	0	1	//정상											
0	1	4	3	6	0	0	2	2	//정상											
0	2	27	3	1	0	0	2	2	//정상											
0	3	10	2	0	0	0	1	1	//정상											
0	4	16	2	0	0	0	1	1	//정상											
0	5	34	3	4	0	0	2	2	//정상											
0	6	11	2	0	0	0	1	1	//정상											
0	7	17	3	0	0	2	2	2	//정상											
0	8	35	2	0	0	1	1	1	//정상											
0	9	16	3	1	0	2	2	0	//정상											
1	0	27	3	7	2	2	0	2	//정상											
1	1	5	2	0	0	1	1	1	//정상											
1	2	31	3	0	0	2	2	2	//정상											
1	3	32	2	0	0	1	1	1	//정상											
1	4	20	2	0	0	1	1	1	//정상											
1	5	25	2	0	0	1	1	1	//정상											
1	6	2	2	0	0	1	1	0	//정상											
1	7	7	3	7	2	2	0	2	//정상											
1	8	37	3	4	2	2	2	2	//정상											
1	9	8	2	0	1	1	1	0	//정상											
2	0	4	2	0	1	1	0	0	//정상											
2	1	10	3	2	2	2	0	2	//정상											
2	2	12	3	0	2	0	2	2	//정상											
2	3	0	2	0	1	1	1	0	//정상											
2	4	17	3	7	2	2	0	0	//정상											
2	5	1	3	5	2	2	0	0	//정상											
2	6	7	2	0	1	1	0	0	//정상											
2	7	0	3	6	2	0	0	2	//정상											
2	8	33	2	0	1	0	1	1	//정상											
2	9	9	3	0	2	2	2	0	//정상											
3	0	6	2	0	1	1	0	0	//정상											
3	1	8	3	3	2	2	0	2	//정상											
3	2	30	2	0	0	1	1	1	//정상											
3	3	37	2	0	1	1	1	0	//정상											
3	4	3	2	0	1	1	0	0	//정상											
3	5	23	3	3	2	2	0	2	//정상											
3	6	8	2	0	1	1	1	1	//정상											
3	7	20	3	6	0	2	2	2	//정상											
3	8	2	2	0	0	1	1	0	//정상											
3	9	21	2	0	1	1	0	0	//정상											
4	0	7	3	6	2	0	0	0	//정상											
4	1	36	2	0	1	1	0	0	//정상											
4	2	37	2	0	1	1	0	1	//정상											
4	3	7	2	0	1	0	1	0	//정상											
4	4	18	3	7	2	0	0	0	//정상											
4	5	15	3	1	2	2	0	0	//정상											
4	6	30	3	0	2	2	0	0	//정상											
4	7	7	3	6	2	2	0	0	//정상											
4	8	4	2	0	1	1	0	0	//정상											
4	9	28	2	0	1	1	0	0	//정상											
5	0	7	3	7	0	2	0	2	//정상											
5	1	18	2	0	1	1	1	0	//정상											
5	2	14	2	0	1	0	0	1	//정상											
5	3	11	2	0	0	0	1	1	//정상											
5	4	22	3	2	0	0	2	2	//정상											
5	5	18	2	0	1	1	1	0	//정상											
5	6	22	3	2	2	2	0	0	//정상											
5	7	25	2	0	1	0	0	1	//정상											
5	8	17	2	0	1	1	1	0	//정상											
5	9	0	3	2	2	2	0	0	//정상											
6	0	37	2	0	1	1	0	0	//정상											
6	1	36	2	0	1	1	0	0	//정상											
6	2	17	3	5	0	2	0	0	//정상											
6	3	12	2	0	0	1	0	0	//정상											
6	4	26	3	4	0	2	0	0	//정상											
6	5	4	2	0	1	1	0	0	//정상											
6	6	21	2	0	1	1	0	0	//정상											
6	7	13	4	0	0	0	0	1	//정상											
6	8	35	2	0	1	0	1	0	//정상											
6	9	29	2	0	1	1	0	0	//정상											
7	0	16	2	0	1	1	0	0	//정상											
7	1	22	2	0	1	0	0	1	//정상											
7	2	18	2	0	1	0	1	1	//정상											
7	3	5	2	0	1	0	1	1	//정상											
7	4	7	2	0	1	1	1	0	//정상											
7	5	14	2	0	1	1	0	0	//정상											
7	6	11	2	0	1	1	0	0	//정상											
7	7	5	3	4	0	2	0	2	//정상											
7	8	27	2	0	0	1	1	1	//정상											
7	9	7	3	6	2	2	2	0	//정상											
8	0	7	2	0	1	1	0	0	//정상											
8	1	26	2	0	0	1	0	1	//정상											
8	2	5	3	4	0	2	2	0	//정상											
8	3	16	3	1	0	2	0	0	//정상											
8	4	20	2	0	1	0	0	1	//정상											
8	5	5	2	0	1	0	1	0	//정상											
8	6	22	3	3	2	0	0	0	//정상											
8	7	10	3	5	2	2	0	2	//정상											
8	8	3	2	0	1	1	1	0	//정상											
8	9	2	3	7	2	2	0	0	//정상											
9	0	8	2	0	1	0	0	1	//정상											
9	1	10	2	0	1	0	1	1	//정상											
9	2	5	2	0	1	0	1	1	//정상											
9	3	21	2	0	1	0	1	1	//정상											
9	4	19	2	0	0	0	1	1	//정상											
9	5	31	2	0	0	0	1	1	//정상											
9	6	37	2	0	0	0	1	1	//정상											
9	7	20	2	0	1	0	1	1	//정상											
9	8	23	2	0	1	0	1	0	//정상											
9	9	34	1	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
25	7	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	1	3	5	0	0	0	2	//정상											
0	1	28	2	0	0	1	1	1	//정상											
0	2	24	2	0	0	1	1	0	//정상											
0	3	25	3	0	0	0	0	2	//정상											
0	4	16	3	5	0	2	2	2	//정상											
0	5	4	2	0	0	0	1	0	//정상											
0	6	11	3	3	0	2	0	2	//정상											
0	7	24	3	2	0	2	2	0	//정상											
0	8	27	3	2	0	2	0	0	//정상											
0	9	33	3	0	0	2	0	0	//정상											
1	0	23	3	7	0	0	0	2	//정상											
1	1	33	3	7	2	2	2	0	//정상											
1	2	19	2	0	1	1	0	0	//정상											
1	3	27	2	0	0	0	0	1	//정상											
1	4	26	3	6	2	2	2	2	//정상											
1	5	11	3	5	0	0	2	0	//정상											
1	6	6	3	1	2	0	0	2	//정상											
1	7	28	3	2	2	2	2	0	//정상											
1	8	15	2	0	1	1	0	1	//정상											
1	9	9	3	3	2	2	2	0	//정상											
2	0	16	3	3	0	2	0	2	//정상											
2	1	11	2	0	1	1	1	0	//정상											
2	2	33	3	2	2	0	0	2	//정상											
2	3	5	2	0	0	1	1	1	//정상											
2	4	18	3	4	2	2	2	2	//정상											
2	5	6	3	5	0	0	2	0	//정상											
2	6	26	2	0	0	1	0	1	//정상											
2	7	17	3	3	2	2	2	2	//정상											
2	8	31	2	0	1	1	1	0	//정상											
2	9	20	2	0	1	1	0	0	//정상											
3	0	5	2	0	1	1	0	0	//정상											
3	1	12	3	6	2	0	0	0	//정상											
3	2	3	3	7	0	2	0	0	//정상											
3	3	29	3	5	2	0	0	0	//정상											
3	4	32	3	6	2	2	0	0	//정상											
3	5	34	3	1	0	2	0	2	//정상											
3	6	14	2	0	1	0	1	0	//정상											
3	7	24	2	0	1	1	0	1	//정상											
3	8	5	3	5	2	0	2	0	//정상											
3	9	20	3	5	2	2	0	0	//정상											
4	0	2	3	4	2	2	0	0	//정상											
4	1	17	3	2	0	0	0	2	//정상											
4	2	28	3	3	2	0	2	2	//정상											
4	3	18	3	4	0	0	2	2	//정상											
4	4	31	1	0	1	1	1	0	//정상											
4	5	13	4	0	1	0	0	0	//정상											
4	6	14	3	2	0	0	0	2	//정상											
4	7	18	3	6	2	0	2	2	//정상											
4	8	8	2	0	0	1	1	1	//정상											
4	9	2	2	0	1	0	1	0	//정상											
5	0	8	2	0	1	0	0	1	//정상											
5	1	6	2	0	0	1	1	1	//정상											
5	2	30	3	5	0	2	2	2	//정상											
5	3	29	3	0	0	0	2	0	//정상											
5	4	8	3	4	2	0	0	2	//정상											
5	5	12	3	6	0	0	2	0	//정상											
5	6	19	2	0	0	1	0	1	//정상											
5	7	31	3	6	0	2	2	0	//정상											
5	8	0	3	7	2	0	0	2	//정상											
5	9	1	2	0	0	1	1	0	//정상											
6	0	12	3	0	0	0	0	2	//정상											
6	1	15	3	0	2	2	2	2	//정상											
6	2	2	2	0	1	0	1	1	//정상											
6	3	24	3	4	0	0	2	2	//정상											
6	4	29	3	1	0	2	2	2	//정상											
6	5	2	3	2	0	0	2	0	//정상											
6	6	23	2	0	1	1	0	0	//정상											
6	7	32	2	0	1	1	0	0	//정상											
6	8	19	3	4	0	2	0	0	//정상											
6	9	13	2	0	1	1	0	0	//정상											
7	0	32	2	0	0	1	0	1	//정상											
7	1	31	2	0	1	0	1	1	//정상											
7	2	37	3	7	0	0	2	0	//정상											
7	3	3	3	2	0	2	0	0	//정상											
7	4	15	2	0	1	1	0	1	//정상											
7	5	37	2	0	0	0	1	1	//정상											
7	6	3	3	0	2	0	2	2	//정상											
7	7	23	3	6	2	0	2	2	//정상											
7	8	10	2	0	1	0	1	1	//정상											
7	9	30	3	1	2	0	2	0	//정상											
8	0	37	2	0	1	1	0	1	//정상											
8	1	10	3	3	0	2	2	0	//정상											
8	2	36	2	0	0	1	0	1	//정상											
8	3	8	2	0	1	0	1	1	//정상											
8	4	31	3	6	2	2	2	2	//정상											
8	5	9	3	4	0	0	2	0	//정상											
8	6	26	2	0	0	0	0	1	//정상											
8	7	34	3	7	0	2	2	2	//정상											
8	8	5	3	6	0	0	2	2	//정상											
8	9	4	2	0	0	1	1	0	//정상											
9	0	36	3	6	2	0	0	0	//정상											
9	1	22	2	0	1	0	0	1	//정상											
9	2	15	2	0	1	0	1	1	//정상											
9	3	15	3	4	0	0	2	0	//정상											
9	4	10	3	6	2	0	0	2	//정상											
9	5	9	3	7	0	0	2	2	//정상											
9	6	7	2	0	0	0	1	1	//정상											
9	7	20	3	2	2	0	2	2	//정상											
9	8	28	2	0	0	0	1	1	//정상											
9	9	28	3	6	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
26	7	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	23	2	0	0	1	0	1	//정상											
0	1	15	3	5	0	2	2	2	//정상											
0	2	13	3	7	0	2	2	2	//정상											
0	3	16	2	0	0	0	1	0	//정상											
0	4	18	2	0	0	1	0	1	//정상											
0	5	2	2	0	0	1	1	1	//정상											
0	6	23	2	0	0	1	1	0	//정상											
0	7	33	3	2	0	0	0	2	//정상											
0	8	9	3	3	0	2	2	2	//정상											
0	9	30	2	0	0	1	1	0	//정상											
1	0	24	3	5	2	0	0	2	//정상											
1	1	25	3	6	2	0	2	2	//정상											
1	2	21	2	0	1	1	1	0	//정상											
1	3	34	3	2	0	2	0	0	//정상											
1	4	35	2	0	1	1	0	1	//정상											
1	5	3	3	2	2	2	2	2	//정상											
1	6	21	3	7	2	2	2	0	//정상											
1	7	26	4	0	0	1	0	0	//정상											
1	8	30	2	0	1	1	0	0	//정상											
1	9	25	2	0	1	1	0	0	//정상											
2	0	18	3	0	0	2	0	0	//정상											
2	1	4	3	0	0	2	0	2	//정상											
2	2	19	2	0	1	1	1	1	//정상											
2	3	25	3	1	2	2	2	0	//정상											
2	4	9	2	0	1	1	0	1	//정상											
2	5	32	3	1	2	0	2	2	//정상											
2	6	22	3	2	2	0	2	0	//정상											
2	7	5	3	0	2	0	0	2	//정상											
2	8	24	3	1	2	0	2	0	//정상											
2	9	29	2	0	1	1	0	0	//정상											
3	0	7	2	0	1	1	0	0	//정상											
3	1	31	3	7	2	2	0	0	//정상											
3	2	30	2	0	1	1	0	0	//정상											
3	3	17	2	0	1	0	0	1	//정상											
3	4	1	3	1	2	2	2	2	//정상											
3	5	4	3	4	0	0	2	0	//정상											
3	6	22	2	0	0	1	0	1	//정상											
3	7	0	3	0	0	0	2	0	//정상											
3	8	0	3	0	0	0	0	2	//정상											
3	9	30	3	4	2	2	2	0	//정상											
4	0	31	3	3	2	2	0	2	//정상											
4	1	19	2	0	1	1	1	0	//정상											
4	2	0	3	5	2	2	0	0	//정상											
4	3	29	3	1	0	2	0	0	//정상											
4	4	30	2	0	1	0	0	1	//정상											
4	5	17	2	0	0	1	1	0	//정상											
4	6	31	3	2	2	2	0	0	//정상											
4	7	8	3	1	0	0	0	2	//정상											
4	8	17	3	6	0	2	2	2	//정상											
4	9	14	3	7	2	0	2	0	//정상											
5	0	16	2	0	1	1	0	1	//정상											
5	1	21	3	2	2	2	2	2	//정상											
5	2	14	1	0	1	1	1	1	//정상											
5	3	13	3	5	2	2	2	0	//정상											
5	4	8	2	0	0	1	0	1	//정상											
5	5	15	3	7	2	0	2	0	//정상											
5	6	37	2	0	1	1	0	0	//정상											
5	7	37	3	6	0	0	0	2	//정상											
5	8	3	2	0	1	1	1	0	//정상											
5	9	7	2	0	0	1	0	0	//정상											
6	0	0	2	0	1	1	0	0	//정상											
6	1	9	2	0	1	0	0	1	//정상											
6	2	35	3	2	2	2	2	2	//정상											
6	3	25	3	5	2	2	2	0	//정상											
6	4	20	2	0	1	1	0	1	//정상											
6	5	37	2	0	0	0	1	0	//정상											
6	6	19	2	0	1	1	0	1	//정상											
6	7	17	3	7	0	0	2	2	//정상											
6	8	14	3	5	2	0	2	0	//정상											
6	9	9	3	4	2	2	0	0	//정상											
7	0	6	3	1	2	2	0	2	//정상											
7	1	31	2	0	0	0	1	0	//정상											
7	2	20	2	0	1	1	0	0	//정상											
7	3	30	2	0	1	0	0	0	//정상											
7	4	37	3	0	2	2	0	2	//정상											
7	5	10	3	4	0	0	2	0	//정상											
7	6	11	3	6	2	2	0	2	//정상											
7	7	17	3	1	0	0	2	0	//정상											
7	8	26	3	3	0	2	0	2	//정상											
7	9	0	3	0	2	2	2	0	//정상											
8	0	33	3	4	2	2	0	0	//정상											
8	1	8	3	5	0	2	0	2	//정상											
8	2	20	3	7	2	2	2	2	//정상											
8	3	1	3	4	0	2	2	0	//정상											
8	4	18	3	1	2	2	0	0	//정상											
8	5	37	3	3	0	2	0	0	//정상											
8	6	6	2	0	1	1	0	1	//정상											
8	7	8	3	0	0	0	2	0	//정상											
8	8	1	3	6	2	2	0	2	//정상											
8	9	30	2	0	1	1	1	0	//정상											
9	0	26	2	0	1	0	0	0	//정상											
9	1	22	3	5	2	0	0	2	//정상											
9	2	10	3	2	2	0	2	2	//정상											
9	3	22	3	1	2	0	2	0	//정상											
9	4	5	3	1	2	0	0	2	//정상											
9	5	22	2	0	1	0	1	1	//정상											
9	6	34	3	4	2	0	2	2	//정상											
9	7	12	3	0	0	0	2	2	//정상											
9	8	24	2	0	1	0	1	1	//정상											
9	9	17	3	5	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
27	7	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	36	3	0	0	0	0	2	//정상											
0	1	0	3	2	0	2	2	0	//정상											
0	2	23	3	4	0	0	0	2	//정상											
0	3	37	3	0	0	2	2	2	//정상											
0	4	35	2	0	0	1	1	1	//정상											
0	5	19	3	6	0	2	2	0	//정상											
0	6	16	3	0	0	2	0	2	//정상											
0	7	4	3	4	0	2	2	2	//정상											
0	8	26	2	0	0	0	1	1	//정상											
0	9	35	3	3	0	2	2	0	//정상											
1	0	14	3	6	0	2	0	2	//정상											
1	1	22	1	0	1	1	1	1	//정상											
1	2	6	3	7	0	0	2	0	//정상											
1	3	20	2	0	1	0	0	1	//정상											
1	4	0	2	0	1	0	1	1	//정상											
1	5	29	3	1	2	2	2	0	//정상											
1	6	28	3	7	2	2	0	2	//정상											
1	7	17	3	7	2	2	2	0	//정상											
1	8	9	2	0	0	1	0	0	//정상											
1	9	29	2	0	1	1	0	0	//정상											
2	0	4	2	0	1	1	0	0	//정상											
2	1	20	3	2	2	0	0	0	//정상											
2	2	27	3	4	0	2	0	0	//정상											
2	3	24	2	0	0	1	0	1	//정상											
2	4	31	3	6	0	0	2	2	//정상											
2	5	28	2	0	1	1	1	0	//정상											
2	6	32	2	0	1	1	0	0	//정상											
2	7	23	2	0	1	1	0	0	//정상											
2	8	37	3	2	2	2	0	2	//정상											
2	9	25	3	7	2	2	2	0	//정상											
3	0	4	3	5	2	2	0	2	//정상											
3	1	1	3	5	0	2	2	2	//정상											
3	2	11	2	0	1	1	1	0	//정상											
3	3	1	3	1	2	2	0	2	//정상											
3	4	30	2	0	0	0	1	0	//정상											
3	5	17	3	1	2	2	0	2	//정상											
3	6	26	2	0	1	0	1	0	//정상											
3	7	28	3	0	2	0	0	0	//정상											
3	8	25	3	0	2	2	0	0	//정상											
3	9	19	2	0	1	1	0	0	//정상											
4	0	29	3	4	2	2	0	0	//정상											
4	1	35	2	0	1	1	0	0	//정상											
4	2	32	3	1	2	0	0	2	//정상											
4	3	6	2	0	1	1	1	0	//정상											
4	4	16	3	7	0	0	0	2	//정상											
4	5	14	2	0	1	0	1	0	//정상											
4	6	14	3	7	0	0	0	2	//정상											
4	7	33	3	6	0	2	2	2	//정상											
4	8	24	2	0	1	1	1	0	//정상											
4	9	22	3	2	2	2	0	0	//정상											
5	0	34	2	0	1	1	0	0	//정상											
5	1	31	3	2	2	0	0	0	//정상											
5	2	37	2	0	0	1	0	1	//정상											
5	3	33	3	3	2	2	2	2	//정상											
5	4	6	3	0	0	0	2	0	//정상											
5	5	3	2	0	0	1	0	0	//정상											
5	6	14	3	2	0	2	0	0	//정상											
5	7	0	2	0	1	1	0	0	//정상											
5	8	14	3	3	2	0	0	0	//정상											
5	9	26	2	0	1	1	0	0	//정상											
6	0	37	3	2	2	2	0	2	//정상											
6	1	22	3	1	0	2	2	0	//정상											
6	2	35	2	0	1	1	0	1	//정상											
6	3	25	3	7	2	2	2	2	//정상											
6	4	20	3	5	0	0	2	0	//정상											
6	5	32	3	3	2	2	0	0	//정상											
6	6	36	2	0	1	1	0	0	//정상											
6	7	22	3	5	2	2	0	2	//정상											
6	8	31	3	6	0	0	2	0	//정상											
6	9	17	3	3	2	0	0	0	//정상											
7	0	15	3	3	2	2	0	2	//정상											
7	1	3	2	0	1	1	1	0	//정상											
7	2	29	3	4	2	2	0	2	//정상											
7	3	29	2	0	1	1	1	1	//정상											
7	4	3	3	7	0	2	2	2	//정상											
7	5	30	2	0	1	1	1	1	//정상											
7	6	32	3	2	2	2	2	0	//정상											
7	7	13	2	0	1	1	0	0	//정상											
7	8	28	3	2	0	2	0	2	//정상											
7	9	34	2	0	0	1	1	0	//정상											
8	0	36	3	2	2	2	0	2	//정상											
8	1	1	3	6	2	2	2	0	//정상											
8	2	0	3	5	2	2	0	2	//정상											
8	3	34	2	0	1	1	1	0	//정상											
8	4	1	3	1	2	0	0	0	//정상											
8	5	36	2	0	1	1	0	1	//정상											
8	6	22	3	2	2	0	2	0	//정상											
8	7	16	3	0	2	2	0	0	//정상											
8	8	15	4	0	1	0	0	0	//정상											
8	9	15	2	0	1	1	0	0	//정상											
9	0	19	3	7	2	0	0	2	//정상											
9	1	10	3	1	2	0	2	0	//정상											
9	2	17	3	5	2	0	0	2	//정상											
9	3	4	2	0	1	0	1	0	//정상											
9	4	13	2	0	0	0	0	1	//정상											
9	5	29	3	2	2	0	2	2	//정상											
9	6	19	2	0	0	0	1	0	//정상											
9	7	3	3	7	2	0	0	2	//정상											
9	8	0	2	0	0	0	1	1	//정상											
9	9	6	3	6	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
28	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	3	2	0	0	1	0	1	//정상											
0	2	20	2	0	0	1	1	0	//정상											
0	3	36	2	0	0	1	0	1	//정상											
0	4	2	2	0	0	1	1	0	//정상											
1	1	29	2	0	1	1	0	0	//정상											
1	2	35	2	0	1	1	0	1	//정상											
1	3	22	2	0	1	0	1	0	//정상											
1	4	9	2	0	1	1	0	0	//정상											
2	1	30	2	0	1	0	0	1	//정상											
2	2	15	1	0	1	1	1	1	//정상											
2	3	0	3	5	0	0	2	0	//정상											
2	4	26	2	0	1	1	0	0	//정상											
3	1	0	4	0	0	1	0	0	//정상											
3	2	14	3	2	2	0	0	0	//정상											
3	3	24	3	3	0	2	0	2	//정상											
3	4	30	3	0	2	2	2	0	//정상											
4	0	26	2	0	0	0	0	1	//정상											
4	1	3	3	6	2	0	2	2	//정상											
4	2	18	2	0	0	0	1	1	//정상											
4	3	17	2	0	1	0	1	0	//정상											
4	4	33	3	4	2	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
29	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	19	3	5	0	2	0	0	//정상											
0	1	18	2	0	0	1	0	1	//정상											
0	2	23	2	0	0	1	1	0	//정상											
1	0	13	3	2	2	2	0	2	//정상											
1	1	2	2	0	1	0	1	0	//정상											
1	2	37	2	0	1	0	0	1	//정상											
1	3	11	4	0	0	0	1	0	//정상											
1	4	16	3	2	0	2	0	0	//정상											
2	0	1	2	0	1	0	0	1	//정상											
2	1	37	2	0	0	0	1	1	//정상											
2	2	24	2	0	0	0	1	1	//정상											
2	3	8	2	0	0	1	1	1	//정상											
2	4	31	2	0	1	1	1	0	//정상											
3	1	2	3	3	0	2	0	2	//정상											
3	2	21	2	0	0	0	1	1	//정상											
3	3	2	3	0	2	2	2	2	//정상											
3	4	3	2	0	1	0	1	0	//정상											
4	0	2	2	0	0	0	0	1	//정상											
4	1	6	1	0	1	0	1	1	//정상											
4	2	15	2	0	0	0	1	1	//정상											
4	3	20	3	0	2	0	2	2	//정상											
4	4	0	2	0	0	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
30	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	6	2	0	0	1	0	1	//정상											
0	1	30	2	0	0	0	1	1	//정상											
0	2	18	2	0	0	0	1	1	//정상											
0	3	27	2	0	0	0	1	1	//정상											
0	4	28	2	0	0	1	1	0	//정상											
1	0	0	2	0	1	1	0	0	//정상											
1	1	23	3	6	0	2	0	2	//정상											
