// 애니회수 - 0 : 무한 반복	
// 대사내용 - ""안에 대사 내용 입력, ""안에 " 금지, ; 는 줄 바꿈	
//대사번호	대사내용
//튜토리얼용 대사 스크립트 추가. 2009.07.01. By kaisa2(이채선)	
1002	"겐스 분쟁에 대해 묻는다."
1003	"겐스 듀프리언에 가입한다."
1004	"겐스 듀프리언에서 탈퇴한다."
1005	"겐스 퀘스트 수행"
1006	"겐스 듀프리언은 뮤제국 대대로 최고의 명문 귀족 출신 가문인 겐스 듀프리언을 중심으로 뭉친 귀족연합 아르카(Arca) 최고의 용사 집단입니다. 뮤제국 최고 기사이신 듀프리언 윈스턴님이 이끌고 계십니다." 
1007	"돌아가기"
1008	"겐스 분쟁이라… 분쟁이란 표현보단 겐스 바네르트의 반란이란 표현이 더적합 할 것 같습니다. 겐스의 분쟁은 겐스 바네르트의 수장 바네르트 라이츠경의 욕심 때문에 시작되었지요. 지금으로부터 정확히 5년 전, 라클리온으로 쿤둔을 봉인할 봉인석을 찾으러 떠난 용사들이 전멸당한 사건이 발생했습니다. 저희는 분명 라클리온의 지배자 거대 거미 세루판의 소행일거라고 추측했으나 알고 보니 겐스 바네르트의 소행이더군요. 자랑스런 겐스 듀프리언의 용사들은 겐스 바네르트의 도발에 맞서 싸워야만 합니다."
1009	"오! 자랑스런 듀프리언 겐스원이 되시겠습니까?. 명예와 예의를 중시하는 겐스 듀프리언의 일원이 되어 겐스의 듀프리언의 명예를 위해 욕심에 눈이 먼 겐스 바네르트를 응징하고 쿤둔의 봉인석을 찾아 주십시오."
1010	"네. 가입하겠습니다."
1011	"아니요. 좀 더 생각해 보겠습니다."
1012	"겐스에서 탈퇴하실 경우, 3일 동안은 겐스에 가입하실 수 없습니다.;그래도 탈퇴하시겠습니까?"
1013	"네. 탈퇴하겠습니다."
1014	"겐스 듀프리언 가입을 축하 드립니다.  앞으로 겐스원으로서 많은 활동을 하게 되실 겁니다. 겐스와 관련되서 도움을 받으실 일이 생기시면 언제든 절 찾아 주십시오."
1015	"겐스에 가입하실 수 없습니다."
1016	"겐스를 탈퇴할 수 없습니다."
1017	"겐스에 가입하기 위해선 레벨50 이상이어야 합니다."
1018	"이미 겐스에 가입되어 있습니다." 
1019	"속해있는 길드가 다른 겐스에 소속되어 있습니다." 
1020	"겐스에 재가입하기 위해선 겐스를 탈퇴한지 3일이 경과되어야 합니다. 겐스에 가입하실 수 없습니다."
1021	"길드장이 겐스에 가입되어 있지 않습니다. 길드장이 겐스에 가입되어 있어야 동일한 겐스에 가입할 수 있습니다."
1022	"연합길드에 가입되어 있으면 겐스 가입이 안됩니다."
1023	"길드장은 겐스를 탈퇴할 수 없습니다."
1024	"겐스 가입이 안되어 있습니다. 겐스에 가입되어 있어야 탈퇴가 가능합니다."
1025	"겐스를 탈퇴 하셨습니다."
1026	"다른 겐스에 가입되어 있습니다."
1027	"파티 중에는 겐스에 가입할 수 없습니다."
1050	"겐스 바네르트에 용무가 있으신가요? 전 겐스 바네르트의 집사 콘라드(Conrad)라고 합니다."
1051	"겐스 바네르트에 대해 묻는다."
1052	"겐스 분쟁에 대해 묻는다."
1053	"겐스 바네르트에 가입한다."
1054	"겐스 바네르트에서 탈퇴한다."
1055	"겐스 퀘스트 수행"
1056	"겐스 바네르트는 뮤제국 사교계 최고 거물이신 바네르트 라이츠님이 수장으로 계신 명문 가문이지요. 저희 주인님께서는 악랄한 귀족연합 아르카(Arca)의 수장인 듀프리언 윈스턴의 독재를 막고자 불철주야로 노력하고 계시지요."
1057	"귀족 연합 아르카(Arca)가 결성될 때만 하더라도 비록 수장은 겉만 번지르한 듀프리언 윈스턴경께 넘겼지만 바네르트 라이츠경께서는 몸소 사악한 쿤둔의 무리를 퇴치하고 뮤제국의 부흥을 위해 힘써 노력하셨지요. 하지만 얼마 되지 않아 뮤제국을 꿀꺽 삼키려는 듀프리언 윈스턴경의 야심은 만천하에 드러나고 말았습니다. 부디 당신과 같은 용사님들이 바네르트 라이트님을 도와 쿤둔이 봉인하고 뮤제국의 평화가 열리는 새로운 세상을 위해 힘을 보태주셨으면 합니다."
1058	"음~ 당신은 현명한 용사시군요. 제가 뒤에서 힘껏 도울 테니 앞으로 겐스 바네르트의 이름에 걸맞은 멋진 활약 부탁 드리겠습니다."
1059	"겐스 바네르트 가입을 축하 드립니다. 앞으로 겐스원으로서 많은 활동을 하게 되실 겁니다. 겐스와 관련되서 도움을 받으실 일이 생기시면 언제든 절 찾아 주십시오."
1060	"연합길드에 가입되어 있으면 겐스 가입이 안됩니다. 연합길드 탈퇴 후 다시 신청해 주십시오.."
//겐스 NPC 시스템메세지.2009.10.15 수정	
1500	"NPC 대화 스크립트 결과값 오류!"
1501	"진행할 퀘스트를 선택하십시오."
1502	"진행할 수 있는 퀘스트가 없습니다. 다음에 다시 찾아와 주세요."
	
//2009.09.04 15xxx 반복 퀘스트 추가 by stunlee(이준희)	
15001	"이제 자신에게 알맞은 사냥터를 찾는 게 힘들어질 겁니다. 쉐도우 팬텀 부대로 들어오는 의뢰를 통해서 사냥터를 찾아보는 것이 어떨까요? 레벨대마다 저를 찾아오셔서 임무를 진행하신다면 강력한 장비를 지원해드리겠습니다. "
15002	"간단한 임무로 강력한 장비를 얻을 수 있다고?"
15003	"꼭 해야할 것 같습니다. (수락)"
15004	"죄송합니다. 시간이 없어서 힘들겠군요. (거절)"
15005	"우선 의뢰의 시작에 앞서 간단한 테스트용으로 임무를 한가지 드리겠습니다. 해보실래요? 물론 이것 또한 괜찮은 보상을 드리겠습니다."
15006	"음…… 괜찮을 것 같은데~?"
15007	"한번 해보겠습니다. (수락)"
15008	"지금은 시간이 없어서 힘들 것 같습니다. (거절)"
15009	"아쉽군요. 혹시 마음이 바뀌시면 91레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15010	"잘 생각하셨습니다. 우선 엘베란드(3 지역)에서 토템 골램 50마리와 데비아스(3 지역)의 설인 대장 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상(경험치 6만, 150만 젠, 혼돈의 보석 1개)을 받으실 수 있습니다."
15000	"잘 생각하셨습니다. 우선 엘베란드(2지역)에서 저주받은 리치 50마리와 데비아스(2 지역)의 설인 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상(경험치 6만, 150만 젠, 혼돈의 보석 1개)을 받으실 수 있습니다."
15011	"로랜시아의 골칫덩어리인 던전에 대한 의뢰가 여행자님에게 적격인 것 같군요. 던전 내부의 몬스터들을 차근차근 소탕해주시면 될 것 같습니다. 의뢰를 수락하시겠습니까? (91레벨~ 100레벨)"
15012	"던전이라면 어렵진 않겠군. 마침 장비도 낡았으니 한번 해볼까? "
15013	"좋습니다. 한번 해보겠습니다. (수락)"
15014	"죄송합니다. 시간이 없군요. (거절)"
15015	"아쉽군요. 혹시 마음이 바뀌시면 101레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15016	" 던전 2층에서 출몰하는 해골궁수 50마리, 헬하운드 30마리를 퇴치하시고 저에게 오시면 드라곤장갑+8 을 보상으로 드립니다."
15017	" 던전 2층에서 출몰하는 싸이크롭스 50마리, 고스트 30마리를 퇴치하시고 저에게 오시면 전설의장갑+8을 보상으로 드립니다."
15018	" 던전 2층에서 출몰하는 해골궁수 50마리, 헬하운드 30마리를 퇴치하시고 저에게 오시면 수호장갑+8을 보상으로 드립니다."
15019	" 던전 2층에서 출몰하는 싸이크롭스 50마리, 고스트 30마리를 퇴치하시고 저에게 오시면 레드윙장갑+8을 보상으로 드립니다."
15021	"던전에는 다양한 몬스터들이 존재합니다. 그 중에서 2층에 존재하는 몬스터들의 난동이 심해져 퇴치를 부탁한다는 의뢰가 들어왔습니다. 의뢰를 수락하시겠습니까? (101레벨~ 110레벨)"
15022	"마침 장비도 낡았으니 한번 해볼까?"
15023	"좋습니다. 한번 해보겠습니다. (수락)"
15024	"죄송합니다. 시간이 없군요. (거절)"
15025	"아쉽군요. 혹시 마음이 바뀌시면 111레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15026	"던전 2층에서 출몰하는 헬하운드 50마리, 헬스파이더 30마리를 퇴치하시고 저에게 오시면 드라곤 부츠+8을 보상으로 드립니다."
15027	"던전 2층에서 출몰하는 해골궁수 50마리, 헬하운드 30마리를 퇴치하시고 저에게 오시면 전설의부츠+8을 보상으로 드립니다."
15028	"던전 2층에서 출몰하는 헬하운드 50마리, 헬스파이더 30마리를 퇴치하시고 저에게 오시면 수호부츠+8을 보상으로 드립니다."
15029	"던전 2층에서 출몰하는 해골궁수 50마리, 헬하운드 30마리를 퇴치하시고 저에게 오시면 레드윙부츠+8을 보상으로 드립니다."
15031	"던전의 안쪽까지 들어가시는 임무가 있군요. 고르곤에 의해서 지상으로 이동하려는 던전의 몬스터들이 눈에 띄기 시작했다고 합니다. 이 몬스터들에 대한 퇴치 임무를 맡아 주셨으면 합니다. (111레벨~120레벨)"
15032	"마침 장비도 낡았으니 한번 해볼까?"
15033	"좋습니다. 한번 해보겠습니다. (수락)"
15034	"죄송합니다. 시간이 없군요. (거절)"
15035	"아쉽군요. 혹시 마음이 바뀌시면 121레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15036	"던전 2층에서 출몰하는 해골전사대장 50마리, 썬더리치 30마리를 퇴치하시고 저에게 오시면 드라곤투구+8을 보상으로 드립니다."
15037	"던전 2층에서 출몰하는 헬하운드 50마리, 헬스파이더 30마리를 퇴치하시고 저에게 오시면 전설의헬멧+8을 보상으로 드립니다."
15038	"던전 2층에서 출몰하는 해골전사대장 50마리, 썬더리치 30마리를 퇴치하시고 저에게 오시면 수호헬멧+8을 보상으로 드립니다."
15039	"던전 2층에서 출몰하는 헬하운드 50마리, 헬스파이더 30마리를 퇴치하시고 저에게 오시면 레드윙헬멧+8을 보상으로 드립니다."
15041	"던전의 깊숙한 곳까지 들어가서 수행해야 하는 임무가 있습니다. 지난 번보다 조금 힘은 들겠지만 역시 좋은 아이템이 보상으로 지급될 것입니다. 의뢰를 수락하시겠습니까? (121레벨~130레벨)"
15042	"마침 장비도 낡았으니 한번 해볼까?"
15043	"좋습니다. 한번 해보겠습니다. (수락)"
15044	"죄송합니다. 시간이 없군요. (거절)"
15045	"아쉽군요. 혹시 마음이 바뀌시면 131레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15046	"던전2층과 3층에서 출몰하는 포이즌 소뿔전사 50마리, 다크나이트 30마리를 퇴치하시고 저에게 오시면 드라곤바지+8을 보상으로 드립니다."
15047	"던전2층에서 출몰하는 헬스파이더 50마리, 해골전사대장 30마리를 퇴치하시고 저에게 오시면 전설의바지+8을 보상으로 드립니다."
15048	"던전2층과 3층에서 출몰하는 포이즌 소뿔전사 50마리, 다크나이트 30마리를 퇴치하시고 저에게 오시면 수호바지+8을 보상으로 드립니다."
15049	"던전2층에서 출몰하는 헬스파이더 50마리, 해골전사대장 30마리를 퇴치하시고 저에게 오시면 레드윙바지+8을 보상으로 드립니다."
15051	"고르곤이 가진 어둠의 기운이 많이 약해져서 그런지 몬스터들의 난동도 많이 줄어든 것 같습니다. 이 참에 고르곤의 숨통을 꽉 조여주는 게 좋을 것 같습니다. 의뢰를 수락하시겠습니까? (131~140레벨)"
15052	"마침 장비도 낡았으니 한번 해볼까?"
15053	"좋습니다. 한번 해보겠습니다. (수락)"
15054	"죄송합니다. 시간이 없군요. (거절)"
15055	"아쉽군요. 혹시 마음이 바뀌시면 141레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15056	"던전3층에서 출몰하는 다크나이트 50마리, 고르곤 10마리를 퇴치하시고 저에게 오시면 드라곤갑옷+8을 보상으로 드립니다."
15057	"던전 2층에서 출몰하는 해골전사대장 50마리, 썬더리치 30마리를 퇴치하시고 저에게 오시면 전설의갑옷+8을 보상으로 드립니다."
15058	"던전3층에서 출몰하는 다크나이트 50마리, 고르곤 10마리 퇴치를 퇴치하시고 저에게 오시면 수호갑옷+8을 보상으로 드립니다."
15059	"던전 2층에서 출몰하는 해골전사대장 50마리, 썬더리치 30마리를 퇴치하시고 저에게 오시면 레드윙갑옷+8을 보상으로 드립니다."
15061	"고르곤이 조직한 어둠의 군대가 힘이 많이 쇠했다는 소식이 척후대로부터 전해졌습니다. 이때를 위해 그 동안 수많은 임무를 수행하셨던 것 입니다. 이제 고르곤의 어둠의 군대에 치명타를 가해야 할 때입니다. 의뢰를 수락하시겠습니까? (141레벨~160레벨)"
15062	"좋아 이제 크게 한건해 볼까?"
15063	"좋습니다. 한번 해보겠습니다. (수락)"
15064	"죄송합니다. 시간이 없군요. (거절)"
15065	"아쉽군요. 혹시 마음이 바뀌시면 161레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15066	"던전 3층에서 출몰하는 포이즌 소뿔전사50마리, 다크나이트 50마리, 고르곤 30마리를 퇴치하시고 저에게 오시면 더블블레이드+8+스킬 2자루를 보상으로 드립니다."
15067	"던전 3층에서 출몰하는 포이즌 소뿔전사 50마리, 다크나이트 5마리, 고르곤 1마리를 퇴치하시고 저에게 오시면 전설의지팡이+7을 보상으로 드립니다."
15068	"던전 3층에서 출몰하는 포이즌 소뿔전사50마리, 다크나이트 50마리, 고르곤 30마리를 퇴치하시고 저에게 오시면 블루윙석궁+8+스킬을 보상으로 드립니다."
15069	"던전 3층에서 출몰하는 포이즌 소뿔전사 50마리, 다크나이트 5마리, 고르곤 1마리를 퇴치하시고 저에게 오시면 레드윙스틱+7을 보상으로 드립니다."
15071	"여행자님도 이제는 쿤둔의 전장에 도움이 되실 위치까지 오셨군요. 아주 간단한 쉐도우 팬텀 부대의 척후부대로부터 의뢰가 들어왔습니다. 몬스터 퇴치를 통해서 해결할 수 있는 간단한 임무면서 강력한 무기를 지급한다고 합니다. 의뢰를 수락하시겠습니까? (161레벨~165레벨)"
15072	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15073	"좋습니다. 한번 해보겠습니다. (수락)"
15074	"죄송합니다. 시간이 없군요. (거절)"
15075	"아쉽군요. 혹시 마음이 바뀌시면 166레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15076	"로스트 타워 1층에서 출몰하는 쉐도우 50마리, 포이즌 쉐도우 50마리를 퇴치하시고 저에게 오시면 애쉬크로우장갑+7을 보상으로 드립니다."
15077	"데비아스 4지역을 배회하는 아이스 퀸 5마리를 퇴치하시고 저에게 오시면 이클립스장갑+7을 보상으로 드립니다."
15078	"로스트 타워 1층에서 출몰하는 쉐도우 50마리, 포이즌 쉐도우 50마리를 퇴치하시고 저에게 오시면 아이리스장갑+7을 보상으로 드립니다."
15079	"데비아스 4지역을 배회하는 아이스 퀸 5마리를 퇴치하시고 저에게 오시면 에이션트 장갑+7을 보상으로 드립니다."
15081	"이전의 척후 부대 임무로 각 지역이 안정화되어 가고 있습니다. 여행자님의 능력이 매우 뛰어나다고 판단한 쉐도우 팬텀 부대장님은 각 지역의 전장에서 도움을 필요로 하는 부대의 지원 요청을 의뢰하였습니다. 의뢰를 수락하시겠습니까? (166레벨~170레벨)"
15082	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15083	"좋습니다. 한번 해보겠습니다. (수락)"
15084	"죄송합니다. 시간이 없군요. (거절)"
15085	"아쉽군요. 혹시 마음이 바뀌시면 171레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15086	"로스트 타워 2층에서 출몰하는 포이즌 쉐도우 50마리, 저주받은 법사 30마리를 퇴치하시고 저에게 오시면 애쉬크로우부츠+7을 보상으로 드립니다."
15087	" 엘베란드 3지역에서 출몰하는 괴수 우씨 100마리를 퇴치하시고 저에게 오시면 이클립스부츠+7을 보상으로 드립니다."
15088	"로스트 타워 2층에서 출몰하는 포이즌 쉐도우 50마리, 저주받은 법사 30마리를 퇴치하시고 저에게 오시면 아이리스부츠+7을 보상으로 드립니다."
15089	" 엘베란드 3지역에서 출몰하는 괴수 우씨 100마리를 퇴치하시고 저에게 오시면 에이션트부츠+7을 보상으로 드립니다."
15091	"지난 번의 도움이 큰 힘이 되었다고 부대장님께서 감사 드린다고 전하라십니다. 이제 능력이 있는 여행자님들에게 중요한 임무를 드려도 될 것 같다는 말씀이 있으셨습니다. 의뢰를 수락하시겠습니까? (171레벨~179레벨)"
15092	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15093	"좋습니다. 한번 해보겠습니다. (수락)"
15094	"죄송합니다. 시간이 없군요. (거절)"
15095	"아쉽군요. 혹시 마음이 바뀌시면 180레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15096	"로스트 타워 3층에서 출몰하는 저주받은 법사 50마리, 데쓰 카우 50마리를 퇴치하시고 저에게 오시면 애쉬크로우헬멧+7과 애쉬크로우바지+7을 보상으로 드립니다."
15097	"엘베란드 3지역에서 출몰하는 괴수우씨 대장 100마리를 퇴치하시고 저에게 오시면 이클립스헬멧+7과 이클립스바지+7을 보상으로 드립니다."
15098	"로스트 타워 3층에서 출몰하는 저주받은 법사 50마리, 데쓰 카우 50마리를 퇴치하시고 저에게 오시면 아이리스헬멧+7과 아이리스바지+7을 보상으로 드립니다."
15099	"엘베란드 3지역에서 출몰하는 괴수우씨 대장 100마리를 퇴치하시고 저에게 오시면 에이션트헬멧+7과 에이션트바지+7을 보상으로 드립니다."
15101	"여행자님의 도움으로 척후 부대가 많이 안정화 되었습니다. 하지만 척후 부대원들도 어려워하는 적이 나타나서 곤란에 빠져 있다는 소식이 있습니다. 해서 조금 더 안쪽의 척후 부대의 임무를 의뢰할 생각입니다. 의뢰를 수락하시겠습니까? (180레벨~185레벨)"
15102	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15103	"좋습니다. 한번 해보겠습니다. (수락)"
15104	"죄송합니다. 시간이 없군요. (거절)"
15105	"아쉽군요. 혹시 마음이 바뀌시면 186레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15106	" 로스트 타워 3~4층에서 출몰하는 데쓰 카우 100마리를 퇴치하시고 저에게 오시면 애쉬크로우갑옷+7과 카오스드라곤도끼+4+옵션을 보상으로 드립니다.."
15107	" 로스트 타워 1층에서 출몰하는 쉐도우 100마리를 퇴치하시고 저에게 오시면 이클립스갑옷+7과 카오스드라곤도끼+4+옵션을 보상으로 드립니다."
15108	" 로스트 타워 3~4층에서 출몰하는 데쓰 카우 100마리를 퇴치하시고 저에게 오시면 아이리스갑옷+7과 카오스드라곤도끼+4+옵션을 보상으로 드립니다."
15109	" 로스트 타워 1층에서 출몰하는 쉐도우 100마리를 퇴치하시고 저에게 오시면 에이션트갑옷+7과 카오스드라곤도끼+4+옵션을 보상으로 드립니다."
15111	"로스트 타워에서 악의 기운이 퍼져 나와 데비아스 주민들의 영혼이 타락하여 몬스터가 되는 일이 발생하고 있다고 합니다. 그들을 정화하고 영면을 주는 것 또한 저희의 임무이지만 자리를 비울 수 없어 부탁 드립니다. 의뢰를 수락하시겠습니까? (186레벨~189레벨)"
15112	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15113	"좋습니다. 한번 해보겠습니다. (수락)"
15114	"죄송합니다. 시간이 없군요. (거절)"
15115	"아쉽군요. 혹시 마음이 바뀌시면 190레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15116	"로스트 타워 4층에서 출몰하는 데쓰 카우 50마리, 데빌 30마리를 퇴치하시고 저에게 오시면 애쉬크로우장갑+8을 보상으로 드립니다."
15117	"로스트 타워 1층에서 출몰하는 쉐도우 50마리, 포이즌 쉐도우 30마리를 퇴치하시고 저에게 오시면 이클립스장갑+8을 보상으로 드립니다."
15118	"로스트 타워 4층에서 출몰하는 데쓰 카우 50마리, 데빌 30마리를 퇴치하시고 저에게 오시면 아이리스장갑+8을 보상으로 드립니다."
15119	"로스트 타워 1층에서 출몰하는 쉐도우 50마리, 포이즌 쉐도우 30마리를 퇴치하시고 저에게 오시면 에이션트장갑+8을 보상으로 드립니다."
15121	"로스트 타워에서 발생하는 악의 기운은 많이 줄었지만 몬스터들이 갑자기 많이 늘어 로스트 타워에서 분투하는 부대원들이 많이 힘들어한다고 합니다. 이들에게 도움을 주는 의뢰를 여행자님께 드리려 합니다. 의뢰를 수락하시겠습니까? (190레벨~193레벨)"
15122	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15123	"좋습니다. 한번 해보겠습니다. (수락)"
15124	"죄송합니다. 시간이 없군요. (거절)"
15125	"아쉽군요. 혹시 마음이 바뀌시면 194레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15126	"로스트 타워 4~5층에서 출몰하는 데빌 100마리를 퇴치하시고 저에게 오시면 애쉬크로우부츠+8을 보상으로 드립니다."
15127	"로스트 타워 2층에서 출몰하는 포이즌 쉐도우 50마리, 저주받은 법사 30마리를 퇴치하시고 저에게 오시면 이클립스부츠+8을 보상으로 드립니다."
15128	"로스트 타워 4~5층에서 출몰하는 데빌 100마리를 퇴치하시고 저에게 오시면 아이리스부츠+8을 보상으로 드립니다."
15129	"로스트 타워 2층에서 출몰하는 포이즌 쉐도우 50마리, 저주받은 법사 30마리를 퇴치하시고 저에게 오시면 에이션트부츠+8을 보상으로 드립니다."
15131	"로스트 타워에서 일이 자주 발생하는 것 같습니다. 이번에는 척후병들이 사라지는 몇몇 지역에서 몬스터들의 군집현상이 발생한다고 합니다. 아무래도 몬스터들이 무엇인가 꾸미는 듯합니다. 몬스터들이 모이지 못하도록 해주십시오. 의뢰를 수락하시겠습니까? (194레벨~197레벨)"
15132	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15133	"좋습니다. 한번 해보겠습니다. (수락)"
15134	"죄송합니다. 시간이 없군요. (거절)"
15135	"아쉽군요. 혹시 마음이 바뀌시면 198레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15136	"로스트 타워 5~7층에서 출몰하는 데쓰나이트 100마리를 퇴치하시고 저에게 오시면 애쉬크로우헬멧+8을 보상으로 드립니다."
15137	"로스트 타워 3층에서 출몰하는 저주받은 법사 50마리, 데쓰 카우 50마리를 퇴치하시고 저에게 오시면 이클립스헬멧+8을 보상으로 드립니다."
15138	"로스트 타워 5~7층에서 출몰하는 데쓰나이트 100마리를 퇴치하시고 저에게 오시면 아이리스헬멧+8을 보상으로 드립니다."
15139	"로스트 타워 3층에서 출몰하는 저주받은 법사 50마리, 데쓰 카우 50마리를 퇴치하시고 저에게 오시면 에이션트헬멧+8을 보상으로 드립니다."
15141	"몬스터 군집 현상이 일어나는 지역에 설치한 결계가 위협을 받는 다고 합니다. 아무래도 모여드는 몬스터들의 상위 몬스터들을 해치워 본때를 보여줘야 할 것 같습니다. 의뢰를 수락하시겠습니까? (198레벨~201레벨)"
15142	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15143	"좋습니다. 한번 해보겠습니다. (수락)"
15144	"죄송합니다. 시간이 없군요. (거절)"
15145	"아쉽군요. 혹시 마음이 바뀌시면 202레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15146	"로스트 타워 7층에서 출몰하는 데쓰나이트 50마리, 데쓰고르곤 30마리를 퇴치하시고 저에게 오시면 애쉬크로우바지+8을 보상으로 드립니다."
15147	"로스트 타워 3~4층에서 출몰하는 데쓰 카우 100마리를 퇴치하시고 저에게 오시면 이클립스바지+8을 보상으로 드립니다."
15148	"로스트 타워 7층에서 출몰하는 데쓰나이트 50마리, 데쓰고르곤 30마리를 퇴치하시고 저에게 오시면 아이리스바지+8을 보상으로 드립니다."
15149	"로스트 타워 3~4층에서 출몰하는 데쓰 카우 100마리를 퇴치하시고 저에게 오시면 에이션트바지+8을 보상으로 드립니다."
15151	"지난번 결계 강화 작전에서 많은 활약 감사 드립니다. 하지만 몬스터들이 결계 공략에 실패하자 직접적으로 로스트 타워 주둔 부대들을 공격하는 일이 많이 발생한다고 합니다. 아무래도 몬스터의 객체를 조금 줄여놓을 필요가 있을 것 같습니다. 의뢰를 수락하시겠습니까? (202레벨~205레벨)"
15152	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15153	"좋습니다. 한번 해보겠습니다. (수락)"
15154	"죄송합니다. 시간이 없군요. (거절)"
15155	"아쉽군요. 혹시 마음이 바뀌시면 206레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15156	"로스트 타워 7층에서 출몰하는 데쓰고르곤 50마리, 발록 10마리를 퇴치하시고 저에게 오시면 애쉬크로우갑옷+8을 보상으로 드립니다."
15157	"로스트 타워 4~6층에서 출몰하는 데빌 100마리를 퇴치하시고 저에게 오시면 이클립스갑옷+8을 보상으로 드립니다."
15158	"로스트 타워 7층에서 출몰하는 데쓰고르곤 50마리, 발록 10마리를 퇴치하시고 저에게 오시면 아이리스갑옷+8을 보상으로 드립니다."
15159	"로스트 타워 4~6층에서 출몰하는 데빌 100마리를 퇴치하시고 저에게 오시면 에이션트갑옷+8을 보상으로 드립니다."
15161	"로스트 타워의 깊숙한 곳에 있는 높은 직위의 몬스터들이 갑자기 척후 부대를 덮치는 바람에 큰 피해가 발생했습니다. 보복을 위한 공격을 감행해야 한다는 쉐도우 팬텀 부대장님의 명령에 따라 저희도 토벌대를 조직하려 합니다. 의뢰를 수락하시겠습니까? (206레벨~209레벨)"
15162	"그 동안 쉐도우 팬텀에게 도움을 많이 받았으니 ……"
15163	"좋습니다. 한번 해보겠습니다. (수락)"
15164	"죄송합니다. 시간이 없군요. (거절)"
15165	"아쉽군요. 혹시 마음이 바뀌시면 210레벨이 되기 전에 저에게 다시 말씀해주시면 됩니다. (퀘스트가 취소되었습니다.)"
15166	"로스트 타워 7층에서 출몰하는 데쓰나이트 50마리, 데쓰고르곤 30마리, 발록 20마리를 퇴치하시고 저에게 오시면 크리스탈검+7+스킬을 보상으로 드립니다."
15167	"로스트 타워 5~7층에서 출몰하는 데쓰나이트 100마리를 퇴치하시고 저에게 오시면 전설의지팡이+8을 보상으로 드립니다."
15168	"로스트 타워 7층에서 출몰하는 데쓰나이트 50마리, 데쓰고르곤 30마리, 발록 20마리를 퇴치하시고 저에게 오시면 아쿠아골드석궁+7+스킬을 보상으로 드립니다."
15169	"로스트 타워 5~7층에서 출몰하는 데쓰나이트 100마리를 퇴치하시고 저에게 오시면 레드윙스틱+8을 보상으로 드립니다."
15801	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 91레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15802	"엘베란드(3 지역)에서 토템 골램 50마리와 데비아스(3 지역)의 설인 대장 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상(경험치 6만, 150만 젠, 혼돈의 보석 1개)을 받으실 수 있습니다."
15803	"엘베란드(2 지역)에서 저주 받은 리치 50마리와 데비아스(2 지역)의 설인 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상(경험치 6만, 150만 젠, 혼돈의 보석 1개)을 받으실 수 있습니다."
